,Parcel(s),year,Benchmark Status,ENERGY STAR Score,Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Percentage Better than National Median Source EUI,Reason for Exemption,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Previous Year ENERGY STAR Score,Two Years Ago ENERGY STAR Score,Current Year YoY Change,Previous Year YoY Change,Age In Years,Recalculated GHG Emissions Intensity (kgCO2e/ft2),Is Downtown
11835,0976/001,2015,Complied,91.0,-40.8,-40.8,,,65.2,115.7,122.8,4.1,67.5,118.1,Hotel Drisco,2901 PACIFIC AVE,94115,"2901 Pacific Ave
SAN FRANCISCO, CA 94115
(37.792262, -122.443254)",29920,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0976/001,1907.0,2019-04-01T00:00:00.000,Complied,91.0,92.0,0.0,-1.0,108.0,4.10427807486631,False
11836,0976/001,2016,Complied,89.0,-38.0,-38.0,,,69.8,121.9,134.4,4.5,70.9,123.0,Hotel Drisco,2901 PACIFIC AVE,94115,"2901 Pacific Ave
SAN FRANCISCO, CA 94115
(37.792262, -122.443254)",29920,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0976/001,1907.0,2019-04-01T00:00:00.000,Complied,91.0,91.0,-2.0,0.0,109.0,4.491978609625669,False
11837,0976/001,2017,Complied,86.0,-34.2,-34.2,,,76.2,129.8,137.3,4.6,76.2,129.8,Hotel Drisco,2901 PACIFIC AVE,94115,"2901 Pacific Ave
SAN FRANCISCO, CA 94115
(37.792262, -122.443254)",29920,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0976/001,1907.0,2019-04-01T00:00:00.000,Complied,89.0,91.0,-3.0,-2.0,110.0,4.588903743315508,False
11838,0976/001,2018,Complied,34.0,13.6,13.6,,,141.9,211.7,244.1,8.2,141.9,211.7,Hotel Drisco,2901 PACIFIC AVE,94115,"2901 Pacific Ave
SAN FRANCISCO, CA 94115
(37.792262, -122.443254)",29920,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0976/001,1907.0,2019-04-01T00:00:00.000,Complied,86.0,89.0,-52.0,-3.0,111.0,8.158422459893048,False
11839,0976/001,2019,Complied,58.0,-6.6,,-6.6,,112.1,173.3,194.6,6.5,112.1,173.3,Hotel Drisco,2901 PACIFIC AVE,94115,"2901 Pacific Ave
SAN FRANCISCO, CA 94115
(37.792262, -122.443254)",29920,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0976/001,1907.0,2019-04-01T00:00:00.000,Complied,34.0,86.0,24.0,-52.0,112.0,6.504010695187166,False
11841,0982/034,2011,Complied,24.0,26.6,,,,38.3,,291.6,,37.0,,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,,,,,94.0,7.11219512195122,False
11843,0982/034,2013,Complied,88.0,-35.5,-35.4,,,34.2,75.0,167.7,2.5,32.1,72.8,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,24.0,,64.0,,96.0,4.090243902439024,False
11844,0982/034,2014,Complied,92.0,-42.3,-42.3,,,22.6,63.2,118.2,1.7,24.2,64.8,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,88.0,24.0,4.0,64.0,97.0,2.8829268292682926,False
11845,0982/034,2015,Complied,95.0,-46.0,-46.0,,,21.4,60.1,112.0,1.6,21.4,60.1,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,92.0,88.0,3.0,4.0,98.0,2.731707317073171,False
11846,0982/034,2016,Complied,88.0,-36.1,-36.1,,,34.6,97.4,115.7,2.8,34.7,97.6,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,95.0,92.0,-7.0,3.0,99.0,2.821951219512195,False
11847,0982/034,2017,Complied,91.0,-40.5,-40.5,,,30.3,89.3,91.7,2.2,30.5,89.5,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,88.0,95.0,3.0,-7.0,100.0,2.2365853658536587,False
11848,0982/034,2018,Complied,80.0,-30.0,-30.0,,,31.8,81.7,88.8,2.2,31.7,81.6,University High School,3065 JACKSON STREET,94115,"3065 Jackson Street
SAN FRANCISCO, CA 94115
(37.791097, -122.445461)",41000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0982/034,1917.0,2021-04-01T00:00:00.000,Upcoming,91.0,88.0,-11.0,3.0,101.0,2.1658536585365855,False
11863,0999/026,2013,Complied,33.0,15.4,15.4,,,37.4,117.5,74.0,3.3,36.7,115.2,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,,,,,92.0,3.2888888888888888,False
11864,0999/026,2014,Complied,42.0,6.8,6.8,,,32.3,101.5,59.3,2.6,34.2,107.4,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,33.0,,9.0,,93.0,2.6355555555555554,False
11865,0999/026,2015,Complied,53.0,-3.4,-3.4,,,29.8,93.7,54.7,2.4,30.3,95.2,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,42.0,33.0,11.0,9.0,94.0,2.431111111111111,False
11866,0999/026,2016,Complied,70.0,-17.5,-17.5,,,26.2,82.3,51.1,2.3,26.5,83.1,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,53.0,42.0,17.0,11.0,95.0,2.2711111111111113,False
11867,0999/026,2017,Complied,77.0,-23.8,-23.8,,,23.7,74.3,40.4,1.8,23.9,75.1,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,70.0,53.0,7.0,17.0,96.0,1.7955555555555556,False
11868,0999/026,2018,Complied,76.0,-26.4,-26.4,,,22.4,62.8,35.5,1.6,22.4,62.6,3185 WASHINGTON ST,3185 WASHINGTON ST,94115,"3185 WASHINGTON ST
SAN FRANCISCO, CA 94115
(37.790172, -122.445585)",22500,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=0999/026,1921.0,2021-04-01T00:00:00.000,Upcoming,77.0,70.0,-1.0,7.0,97.0,1.5777777777777777,False
11873,1007/008,2013,Complied,93.0,-43.7,-43.8,,,32.2,73.3,40.3,2.4,29.7,70.7,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,,,,,89.0,2.3705882352941177,False
11874,1007/008,2014,Complied,97.0,-50.5,-50.5,,,20.1,61.3,27.5,1.6,20.4,61.6,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,93.0,,4.0,,90.0,1.6176470588235294,False
11875,1007/008,2015,Complied,95.0,-47.7,-47.7,,,27.3,65.7,33.2,2.0,28.6,67.1,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,97.0,93.0,-2.0,4.0,91.0,1.9529411764705882,False
11876,1007/008,2016,Complied,99.0,-56.7,-56.7,,,21.9,55.6,28.7,1.7,25.0,58.9,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,95.0,97.0,4.0,-2.0,92.0,1.688235294117647,False
11877,1007/008,2017,Complied,98.0,-53.3,-53.3,,,25.2,58.9,28.8,1.7,26.6,60.3,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,99.0,95.0,-1.0,4.0,93.0,1.6941176470588235,False
11878,1007/008,2018,Complied,89.0,-41.3,-41.3,,,28.2,56.5,30.0,1.8,28.6,56.9,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
SAN FRANCISCO, CA 94115
(37.78831, -122.445963)",17000,Commercial,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,1924.0,2021-04-01T00:00:00.000,Upcoming,98.0,99.0,-9.0,-1.0,94.0,1.7647058823529411,False
11883,1009/029,2013,Complied,57.0,-8.4,-8.4,,,48.0,131.6,58.5,3.9,47.5,131.0,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,,,,,36.0,3.9,False
11884,1009/029,2014,Complied,46.0,4.3,4.3,,,51.2,144.1,59.2,3.9,52.3,145.2,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,57.0,,-11.0,,37.0,3.9466666666666668,False
11885,1009/029,2015,Complied,37.0,12.4,12.4,,,56.2,156.4,64.6,4.3,56.7,156.9,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,46.0,57.0,-9.0,-11.0,38.0,4.306666666666666,False
11886,1009/029,2016,Complied,45.0,5.2,5.2,,,54.7,145.4,64.8,4.3,56.2,147.0,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,37.0,46.0,8.0,-9.0,39.0,4.32,False
11887,1009/029,2017,Complied,44.0,6.1,6.1,,,56.6,150.5,59.9,4.0,57.2,151.2,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,45.0,37.0,-1.0,8.0,40.0,3.993333333333333,False
11888,1009/029,2018,Complied,40.0,9.8,9.8,,,58.9,141.5,58.7,3.9,58.9,141.5,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
SAN FRANCISCO, CA 94118
(37.787791, -122.450058)",15000,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,1977.0,2019-04-01T00:00:00.000,Complied,44.0,45.0,-4.0,-1.0,41.0,3.9133333333333336,False
11896,1015/054,2016,Complied,6.0,77.3,77.3,,,150.1,314.9,842.9,10.5,150.1,314.9,3838 CALIFORNIA ST,3830 CALIFORNIA ST,94118,"3830 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.78589, -122.45756)",80228,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1015/054,1973.0,2020-04-01T00:00:00.000,Upcoming,,,,,43.0,10.50630702497881,False
11897,1015/054,2017,Complied,10.0,54.9,54.9,,,130.6,283.7,684.4,8.5,130.6,283.7,3838 CALIFORNIA ST,3830 CALIFORNIA ST,94118,"3830 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.78589, -122.45756)",80228,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1015/054,1973.0,2020-04-01T00:00:00.000,Upcoming,6.0,,4.0,,44.0,8.530687540509549,False
11898,1015/054,2018,Complied,14.0,42.4,42.4,,,112.5,233.2,570.8,7.1,112.5,233.2,3838 CALIFORNIA ST,3830 CALIFORNIA ST,94118,"3830 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.78589, -122.45756)",80228,Commercial,Medical Office,http://propertymap.sfplanning.org/?&search=1015/054,1973.0,2020-04-01T00:00:00.000,Upcoming,10.0,6.0,4.0,4.0,45.0,7.114723039337887,False
11952,1022/026,2012,Complied,22.0,25.3,25.3,,,77.8,173.6,136.9,5.4,77.2,173.0,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,,,,,50.0,3.3946637571910334,False
11953,1022/026,2013,Complied,22.0,25.3,25.3,,,77.5,172.9,136.4,5.4,75.8,168.4,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,22.0,,0.0,,51.0,3.382265423527078,False
11954,1022/026,2014,Complied,21.0,26.4,26.4,,,74.2,162.8,129.7,5.1,76.1,168.6,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,22.0,22.0,-1.0,0.0,52.0,3.216127752430073,False
11955,1022/026,2015,Complied,38.0,9.5,9.5,,,64.5,144.5,113.7,4.5,65.3,147.0,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,21.0,22.0,17.0,-1.0,53.0,2.8193810751834953,False
11956,1022/026,2016,Complied,47.0,1.9,1.9,,,60.1,135.2,110.8,4.4,62.0,141.4,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,38.0,21.0,9.0,17.0,54.0,2.747470739932553,False
11957,1022/026,2017,Complied,49.0,0.6,0.6,,,60.2,134.5,101.0,4.0,61.1,137.4,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,47.0,38.0,2.0,9.0,55.0,2.504463400119024,False
11958,1022/026,2018,Complied,64.0,-10.0,-10.0,,,58.9,117.9,93.7,3.7,58.9,117.7,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,49.0,47.0,15.0,2.0,56.0,2.323447728625273,False
11959,1022/026,2019,Complied,59.0,-6.4,,-6.4,,60.3,122.2,96.3,3.8,60.4,122.4,Laurel Inn,444 PRESIDIO AVE,94115,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",40328,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=1022/026,1962.0,2019-04-01T00:00:00.000,Pending - Contracted,64.0,49.0,-5.0,15.0,57.0,2.387919063677842,False
11962,1032/002,2012,Complied,81.0,-25.3,,,,100.1,256.3,157.5,,98.6,254.7,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,,,,,12.0,4.256756756756757,False
11963,1032/002,2013,Complied,81.0,-25.2,-25.2,,,101.6,256.7,149.5,7.4,100.8,255.7,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,81.0,,0.0,,13.0,4.04054054054054,False
11965,1032/002,2015,Complied,42.0,7.7,7.7,,,92.9,246.9,153.3,7.0,93.8,247.8,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,81.0,81.0,-39.0,0.0,15.0,4.143243243243243,False
11966,1032/002,2016,Complied,36.0,14.0,14.0,,,95.5,261.2,168.6,7.7,96.1,261.8,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,42.0,81.0,-6.0,-39.0,16.0,4.556756756756757,False
11967,1032/002,2017,Complied,35.0,14.8,14.8,,,102.9,265.6,157.9,7.2,102.6,264.8,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,36.0,42.0,-1.0,-6.0,17.0,4.267567567567568,False
11968,1032/002,2018,Complied,56.0,-7.6,-7.6,,,89.1,214.1,130.3,5.9,89.2,214.4,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,35.0,36.0,21.0,-1.0,18.0,3.521621621621622,False
11969,1032/002,2019,Complied,62.0,-14.0,,-14.0,,84.1,202.4,123.1,5.6,84.0,201.8,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.787171, -122.447224)",37000,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,2000.0,2019-04-01T00:00:00.000,Complied,56.0,35.0,6.0,21.0,19.0,3.327027027027027,False
11979,10367,2019,Complied,87.0,-46.9,,-46.9,,37.7,105.5,27.5,2.7,37.7,105.5,98 W PORTAL AVE,98 W PORTAL AVE,94127,"98 West Portal Ave
San Francisco, CA 94127
(37.739925, -122.466855)",10367,Commercial,Bank Branch,http://propertymap.sfplanning.org/?&search=10367,,,,,,,,,2.6526478248287835,False
11983,1049/034,2013,Complied,94.0,-35.7,-35.7,,,118.8,177.2,283.4,7.0,,,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,,,,,44.0,6.088731335266946,False
11984,1049/034,2014,Complied,88.0,-28.2,-28.2,,,127.1,192.9,305.0,7.6,139.3,205.7,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,94.0,,-6.0,,45.0,6.552798367171555,False
11985,1049/034,2015,Complied,87.0,-26.7,-26.7,,,130.5,198.8,313.6,7.8,135.1,203.7,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,88.0,94.0,-1.0,-6.0,46.0,6.737565796540982,False
11986,1049/034,2016,Complied,88.0,-28.6,-28.6,,,140.2,209.0,340.6,8.4,142.1,211.0,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,87.0,88.0,1.0,-1.0,47.0,7.317649586421743,False
11988,1049/034,2018,Complied,72.0,-15.6,-15.6,,,139.2,194.0,317.4,7.9,138.8,193.6,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,88.0,87.0,-16.0,1.0,49.0,6.819207218820496,False
11989,1049/034,2019,Complied,78.0,-20.4,,-20.4,,132.1,184.2,301.2,7.5,133.1,185.3,2707 PINE ST,2707 PINE ST,94115,"2707 PINE ST
SAN FRANCISCO, CA 94115
(37.787071, -122.440559)",46545,Commercial,Senior Care Community,http://propertymap.sfplanning.org/?&search=1049/034,1969.0,2021-04-01T00:00:00.000,Upcoming,72.0,88.0,6.0,-16.0,50.0,6.47115694489204,False
12032,1064/032,2012,Complied,44.0,6.0,,,,66.5,180.8,154.42,,66.5,180.8,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,,,,,43.0,5.361805555555556,False
12033,1064/032,2013,Complied,39.0,12.5,12.5,,,79.0,180.6,159.1,5.5,79.0,180.6,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,44.0,,-5.0,,44.0,5.524305555555555,False
12034,1064/032,2014,Complied,39.0,12.3,12.3,,,71.5,172.7,147.6,5.1,77.0,178.5,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,39.0,44.0,0.0,-5.0,45.0,5.125,False
12035,1064/032,2015,Complied,39.0,11.9,11.9,,,72.3,174.3,149.2,5.2,72.0,173.1,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,39.0,39.0,0.0,0.0,46.0,5.180555555555555,False
12036,1064/032,2016,Complied,29.0,25.2,25.2,,,89.4,194.8,183.6,6.4,89.1,193.9,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,39.0,39.0,-10.0,0.0,47.0,6.375,False
12037,1064/032,2017,Complied,16.0,60.0,60.0,,,94.5,187.8,169.8,5.9,94.0,186.5,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,29.0,39.0,-13.0,-10.0,48.0,5.895833333333333,False
12038,1064/032,2018,Complied,10.0,80.0,80.0,,,113.9,204.9,198.6,6.9,113.9,204.9,3360 Geary Blvd,3360 GEARY BLVD,94118,"3360 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781525, -122.455196)",28800,Commercial,Office,http://propertymap.sfplanning.org/?&search=1064/032,1969.0,2019-04-01T00:00:00.000,Pending - Waiting for Clarification,16.0,29.0,-6.0,-13.0,49.0,6.895833333333333,False
12053,1068/001J,2013,Complied,1.0,249.2,249.4,,,405.1,460.8,237.2,22.1,432.3,489.3,2900 GEARY BLVD,2900 GEARY BLVD,94118,"2900 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.782135, -122.450417)",10737,Commercial,Retail Store,http://propertymap.sfplanning.org/?&search=1068/001J,1929.0,2020-04-01T00:00:00.000,Complied,,,,,84.0,22.091831982862995,False
